rsi_buy,rsi_sell,hist_thresh,ema_period,sl_pct,tp_pct,trailing,end_capital,gross_pnl,trades,win_rate,max_dd
30.0,65.0,0.0,50,0.01,0.03,False,10000.0,0,0,0.0,0.0
30.0,65.0,0.0,50,0.01,0.03,True,10000.0,0,0,0.0,0.0
30.0,65.0,0.0,50,0.01,0.05,False,10000.0,0,0,0.0,0.0
30.0,65.0,0.0,50,0.01,0.05,True,10000.0,0,0,0.0,0.0
30.0,65.0,0.0,50,0.02,0.03,False,10000.0,0,0,0.0,0.0
30.0,65.0,0.0,50,0.02,0.03,True,10000.0,0,0,0.0,0.0
30.0,65.0,0.0,50,0.02,0.05,False,10000.0,0,0,0.0,0.0
30.0,65.0,0.0,50,0.02,0.05,True,10000.0,0,0,0.0,0.0
30.0,65.0,0.02,50,0.01,0.03,False,10000.0,0,0,0.0,0.0
30.0,65.0,0.02,50,0.01,0.03,True,10000.0,0,0,0.0,0.0
30.0,65.0,0.02,50,0.01,0.05,False,10000.0,0,0,0.0,0.0
30.0,65.0,0.02,50,0.01,0.05,True,10000.0,0,0,0.0,0.0
30.0,65.0,0.02,50,0.02,0.03,False,10000.0,0,0,0.0,0.0
30.0,65.0,0.02,50,0.02,0.03,True,10000.0,0,0,0.0,0.0
30.0,65.0,0.02,50,0.02,0.05,False,10000.0,0,0,0.0,0.0
30.0,65.0,0.02,50,0.02,0.05,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,50,0.01,0.03,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,50,0.01,0.03,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,50,0.01,0.05,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,50,0.01,0.05,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,50,0.02,0.03,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,50,0.02,0.03,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,50,0.02,0.05,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,50,0.02,0.05,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,200,0.01,0.03,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,200,0.01,0.03,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,200,0.01,0.05,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,200,0.01,0.05,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,200,0.02,0.03,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,200,0.02,0.03,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,200,0.02,0.05,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.0,200,0.02,0.05,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,50,0.01,0.03,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,50,0.01,0.03,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,50,0.01,0.05,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,50,0.01,0.05,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,50,0.02,0.03,False,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,50,0.02,0.03,True,10000.0,0,0,0.0,0.0
30.0,70.0,0.02,50,0.02,0.05,False,10000.0,0,0,0.0,0.0
